id, name, latitude, longitude, address, area, city,cost,Cost_Type, rating,rating_type, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
0,Razzberry Rhinoceros,19.10,72.83,"JuhuHotel, 39/2, Juhu Tara, Juhu, Mumbai",Juhu,Mumbai,"$2,500.0000", Moderate ,3.50,Good,no,yes,yes,yes,yes,no
1,JLWA,19.06,72.84,"Linking Road, Bandra West3rd Floor, VN Sphere Turner,","Linking Road, Bandra West",Mumbai,"  ? 1,600.00  ", Moderate ,4.50,Very Good,no,yes,yes,no,yes,no
2,Tamasha,19.01,72.83,"Ground Floor, Victoria House, E.B Marg,Lower Parel, Mumbai",Lower Parel,Mumbai,"  ? 1,800.00  ", Moderate ,4.10,Very Good,no,yes,yes,no,yes,no
3,Joey's Pizza,19.18,72.83,"Shop 1, Plot D, Samruddhi Complex, Chincholi Bunder Road, Mindspace,Malad West, Mumbai",Malad West,Mumbai,  ? 800.00  , Budget Friendly ,4.60,Excellent,yes,no,no,no,no,no
4,HITCHKI,19.12,72.91,"5, Transocean, Hiranandani Business Park, Lake Boulevard Road,Powai, Mumbai",Powai,Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.00,Very Good,no,yes,yes,yes,yes,no
5,1 Above,19.00,72.83,"Floor 2, Kamala Trade House, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel,Mumbai,"  ? 3,000.00  ", Moderate ,4.10,Very Good,no,yes,yes,no,yes,no
6,Bombay Adda,19.08,72.83,"8th Floor, Nike Showroom Showroom Linking Road,Santacruz West, Mumbai",Santacruz West,Mumbai,"  ? 1,800.00  ", Moderate ,3.90,Very Good,no,yes,yes,yes,yes,yes
7,Ab Celestial,19.04,72.83,"Reclamation, Bandra WestBandra - Worli Sea Link,","Reclamation, Bandra West",Mumbai,"  ? 5,000.00  ", Expensive ,3.70,Very Good,no,no,yes,no,no,yes
8,The Stadium Bar,19.17,72.84,"3rd Floor, DLH Park, Near MTNL Signal,Swami Vivekanand Road, Sunder Nagar,Goregaon West, Mumbai",Goregaon West,Mumbai,"  ? 1,850.00  ", Moderate ,3.80,Very Good,no,yes,yes,yes,yes,no
9,Prithvi Cafe,19.11,72.83,"Prithvi Theatre, Janki Kutir,JuhuChurch Road, Juhu, Mumbai",Juhu,Mumbai,  ? 700.00  , Budget Friendly ,4.50,Very Good,no,no,no,no,no,no
10,BKC | DIVE.,19.07,72.87,"Ground floor, Pinnacle Corporate Park, Next to Trade Centre, Opposite MTNL Office,Bandra Kurla Complex, Mumbai - 400051",Bandra Kurla Complex,Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.00,Very Good,yes,yes,yes,no,no,no
11,Mirchi And Mime,19.12,72.91,"Transocean House, Lake Boulevard, Hiranandani Business Park,Powai, Mumbai",Powai,Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.90,Excellent,no,no,yes,no,yes,no
12,Aer - Four Seasons,18.99,72.82,"Four Seasons Hotel, 1/136, E Moses Road,Worli, Mumbai",Worli,Mumbai,"  ? 4,000.00  ", Expensive ,4.40,Very Good,no,yes,no,yes,yes,no
13,Jimis Burger,19.14,72.83,"Andheri Lokhandwala, Andheri WestShop B2, Shree Siddhivinayak Plaza, Off link Road, Opposite Citi Mall,","Andheri Lokhandwala, Andheri West",Mumbai,  ? 700.00  , Budget Friendly ,4.40,Very Good,yes,no,no,no,no,no
14,145 Bandra,19.06,72.83,"Pali Hill, Bandra West1st floor, HSBC Building, Off Turner Road,","Pali Hill, Bandra West",Mumbai,"  ? 1,400.00  ", Budget Friendly ,4.10,Very Good,no,yes,yes,yes,yes,no
15,Barrel & Co,19.14,72.83,"Ground Floor, Kotia Nirman, Near Fun Republic, New Link Road,Veera Desai Area, Mumbai",Veera Desai Area,Mumbai,"  ? 1,800.00  ", Moderate ,3.90,Very Good,no,no,yes,yes,yes,no
16,Raasta,19.07,72.84,"4/5 Floor, Rohan Plaza, Ram Krishan Nagar, Road 5,Khar, Mumbai",Khar,Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.10,Very Good,yes,yes,yes,no,yes,yes
17,Boardwalk by Flamboyante,18.81,72.88,"Mandwa Jetty Road, Mandvi,Alibaug, Mumbai",Alibaug,Mumbai,"  ? 2,000.00  ", Moderate ,3.60,Very Good,no,yes,yes,yes,no,no
18,Bombay Cocktail Bar,19.14,72.83,"Andheri Lokhandwala, Andheri WestDeluxe House, Ground Floor, Plot B-50, Opposite New Link Road,","Andheri Lokhandwala, Andheri West",Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.00,Very Good,no,no,yes,no,no,no
19,Glocal Junction,18.99,72.82,"Ground Floor, Nehru Centre, Dr. Annie Besant Road, Opposite Nehru Planitorium,Worli, Mumbai",Worli,Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.20,Very Good,yes,yes,yes,yes,yes,no
20,A Bar Called Life,19.12,72.83,"30, Devle Road, Near Chandan Police Choky,JuhuCircle, Juhu, Mumbai",Juhu,Mumbai,"  ? 1,400.00  ", Budget Friendly ,4.20,Very Good,no,yes,yes,no,yes,no
21,Pizza By The Bay,18.93,72.82,"143, Soona Mahal, Marine Drive,Churchgate, Mumbai",Churchgate,Mumbai,"  ? 2,000.00  ", Moderate ,4.00,Very Good,yes,no,yes,no,yes,no
22,Global Fusion,19.11,72.88,"B 1, Times Square Tech Park, Andheri Kurla Road, Sakinaka Junction, Andheri East,Marol, Mumbai",Marol, Mumbai,"  ? 3,500.00  ", Expensive ,4.30,Very Good,no,no,yes,no,yes,no
23,Farzi Cafe,19.00,72.83,"Kamala Mills, Near Radio Mirchi Office,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.20,Very Good,no,no,yes,no,yes,no
24,Opa! Bar & Cafe - The Peninsula Grand Hotel,19.10,72.89,"Hotel Peninsula Grand, Rooftop, OppositeSakinakaMetro Station, Andheri Airport Road, Sakinaka, Mumbai",Sakinaka, Andheri Airport Road,"  ? 1,700.00  ", Moderate ,3.90,Very Good,no,yes,yes,no,yes,yes
25,ESTELLA,19.09,72.83,"Ground Floor, Nichani Kutir Building, Opposite HDFC Bank,JuhuTara Road, Juhu, Mumbai",Juhu, Juhu,"  ? 2,500.00  ", Moderate ,4.60,Excellent,no,yes,yes,yes,yes,no
26,Sigree Global Grill,19.12,72.91,"101, 1st Floor, Ventura Building, Hiranandani Business Park, Central Avenue Road,Powai, Mumbai",Powai, Mumbai,"  ? 2,000.00  ", Moderate ,3.90,Very Good,yes,no,yes,no,no,no
27,Yauatcha,19.06,72.86,"Raheja Towers,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 2,800.00  ", Moderate ,4.50,Very Good,no,yes,yes,no,yes,no
28,Mojo's Bistro,19.00,72.83,"Level 2, Kamla Trade House, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.30,Very Good,no,yes,yes,no,yes,yes
29,The Bandra Project by PizzaExpress,19.06,72.83,"Pali Hill, Bandra WestC – 534A, Ground Floor, HSBC Building, Dr. Ambedkar Road,","Pali Hill, Bandra West", Mumbai,"  ? 1,600.00  ", Moderate ,4.20,Very Good,yes,no,yes,no,yes,no
30,Kube,19.13,72.83,"Andheri Lokhandwala, Andheri WestFloor 5, Crystal Point Mall, Azad Nagar, Link Road,","Andheri Lokhandwala, Andheri West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.10,Very Good,no,yes,yes,yes,yes,yes
31,Verbena - BrewPub & SkyGarden,19.01,72.83,"4th Floor, Trade View Building, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,000.00  ", Moderate ,3.80,Very Good,no,yes,yes,yes,yes,yes
32,Dome - InterContinental,18.93,72.82,"Hotel InterContinental, 135,Churchgate, Mumbai",Churchgate, Mumbai,"  ? 3,500.00  ", Expensive ,4.10,Very Good,no,yes,yes,no,yes,yes
33,R' ADDA,19.11,72.83,"Ramee Guestline Hotel, 462, A B Nair Road,Juhu, Mumbai",Juhu, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.00,Very Good,no,yes,yes,yes,yes,no
34,Keventers,19.07,72.82,"Carter Road, Bandra WestShop 9, Building B, Gagangiri Premises Co-Operative Society Ltd.,","Carter Road, Bandra West", Mumbai,  ? 200.00  , Budget Friendly ,3.80,Very Good,no,no,no,no,no,no
35,Toit Brewery - Taproom & Kitchen,19.00,72.83,"Mathuradas Mill Compound, Senapati Bapat Marg, Lower ParelMumbai,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,000.00  ", Moderate ,3.60,Very Good,no,yes,yes,yes,yes,no
36,Rude Lounge,19.11,72.91,"8th Floor, B Wing, Supreme Business Park, Hiranandani Gardens,Powai, Mumbai",Powai, Mumbai,"  ? 1,600.00  ", Moderate ,3.70,Very Good,no,yes,yes,no,yes,no
37,The Bombay Canteen,19.00,72.83,"Ground Floor, Process House, Kamala Mills Compound, Near Radio Mirchi Office, S.B. Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,000.00  ", Moderate ,4.20,Very Good,no,no,yes,no,yes,no
38,Door No.1 - The Retro Bar,19.05,72.83,"Reclamation, Bandra WestShop 1 and 2 , Ankleshwar, ONGC  Colony,","Reclamation, Bandra West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.00,Very Good,no,yes,yes,yes,yes,no
39,Masala Library,19.07,72.87,"Ground Floor, First International Financial Centre,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 5,000.00  ", Expensive ,4.90,Excellent,no,no,yes,no,yes,no
40,FLYP@MTV,19.01,72.83,"1st Floor, Trade View Building, Next to Gate 4, Kamala Mills Compound, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,400.00  ", Budget Friendly ,4.10,Very Good,no,yes,yes,no,no,no
41,Bastian,19.06,72.83,"Linking Road, Bandra WestB/1, New Kamal Building, Opposite National College,","Linking Road, Bandra West", Mumbai,"  ? 2,500.00  ", Moderate ,4.50,Very Good,no,yes,yes,yes,no,no
42,Rikē - Terrace Bar & Grill,19.14,72.83,"Dreamworks, C18, Dalia Estate, Near Fun Republic, Above Doolally taproom, Off New Andheri Link Road,Veera Desai Area, Andheri West, Mumbai",Veera Desai Area, Mumbai,  ? 800.00  , Budget Friendly ,4.20,Very Good,no,yes,yes,yes,yes,yes
43,The Playlist Pizzeria,19.05,72.83,"Reclamation, Bandra WestShop 1, Gloria Apartments, St. Baptist Road, Near Mt. Mary Steps,","Reclamation, Bandra West", Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
44,99 Pancakes,18.93,72.83,"Ground Floor, Commerce House, N.M. Joshi Marg,Fort, Mumbai",Fort, Mumbai,  ? 500.00  , Budget Friendly ,4.30,Very Good,yes,no,no,no,no,no
45,Starbucks,18.93,72.83,"10, Elphinstone Building, Veernariman Road, Horniman Circle,Fort, Mumbai",Fort, Mumbai,  ? 700.00  , Budget Friendly ,4.40,Very Good,no,no,no,yes,yes,no
46,Masaledaar By Mini Punjab,19.19,72.96,"1st Floor, The Thane Club, Opposite Raheja Gardens 3 no. Gate, Raghunath Nagar, Mohan Koppikar Road, 
Teen Haath Naaka, Near tip top plaza Thane West",Fort, Mumbai,  ? 850.00  , Budget Friendly ,4.30,Very Good,yes,no,yes,no,no,no
47,The J,18.93,72.83,"3, Vaswani Mansions, Dinshaw Vachha Road, Opposite HR College,Churchgate, Mumbai",Churchgate, Mumbai,  ? 450.00  , Budget Friendly ,4.00,Very Good,no,no,no,no,no,no
48,Tipsy Gypsy,19.13,72.83,"Level One, Fun Republic Mall, Off New Link Road,Veera Desai Area, Mumbai, Mumbai",Veera Desai Area, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.10,Very Good,no,yes,yes,no,no,no
49,KODE,19.00,72.83,"Unit 11, Oasis City, Kamala Mills, Gate 4, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,400.00  ", Moderate ,4.60,Excellent,no,yes,yes,no,yes,no
50,Breeze Lounge,19.11,72.91,"8th Floor, A Wing, Supreme Business Park, Hiranandani Gardens,Powai, Mumbai",Powai, Mumbai,"  ? 2,400.00  ", Moderate ,3.80,Very Good,no,yes,yes,no,yes,no
51,Koyla,18.92,72.83,"Above Gulf Hotel, HNA Azmi Marg,Colaba, Mumbai",Colaba, Mumbai,"  ? 1,600.00  ", Moderate ,3.70,Very Good,yes,no,no,no,yes,yes
52,TAP Resto Bar,19.11,72.88,"Ground Floor, Times Square Tech Park, Andheri Kurla Road,SakinakaJunction, Andheri East, Marol, Mumbai",Sakinaka, Andheri East,"  ? 1,400.00  ", Budget Friendly ,3.80,Very Good,no,yes,yes,no,yes,no
53,Light House Cafe,18.99,72.81,"9 Ground Floor, Sunville Banquets, Dr Annie Besant Road, Siddharth Nagar,Worli, Mumbai",Worli, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.10,Very Good,yes,no,yes,no,yes,no
54,Arth,19.07,72.83,"604, P D Hinduja Junction, 15th Road,Khar, Mumbai",Khar, Mumbai,"  ? 2,500.00  ", Moderate ,3.90,Very Good,no,yes,yes,yes,yes,no
55,Play - The Lounge,19.01,72.83,"First Floor, Unit 2, Trade View Building, Oasis Complex, Kamala Mills Compound, E.B.Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,700.00  ", Moderate ,4.00,Very Good,no,yes,yes,no,yes,no
56,Candies,19.07,72.83,"Pali Hill, Bandra WestMac Ronells, Next to Learners Academy School,","Pali Hill, Bandra West", Mumbai,  ? 700.00  , Budget Friendly ,4.00,Very Good,yes,yes,no,no,no,no
57,Glass House,19.18,72.84,"4th Floor, Linkway Estate Co. Society, Above Greens Veg Restaurant, New Link Road,Malad West, Mumbai",Malad West, Mumbai,"  ? 1,700.00  ", Moderate ,3.30,Good,no,yes,yes,no,yes,no
58,Nara,19.06,72.86,"Ground Floor, Raheja Towers, Opposite Jio Garden,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 1,800.00  ", Moderate ,3.80,Very Good,no,no,yes,yes,no,no
59,O Pedro,19.06,72.86,"Unit No 2, Plot No C-68, Jet Airways - Godrej BKC,Bandra Kurla ComplexMumbai, Maharashtra",Bandra Kurla Complex, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.10,Very Good,no,no,yes,yes,yes,no
60,Khar Social,19.07,72.84,"Rohan Plaza, 5th Road, S.V. Road,KharWest, Khar, Mumbai",Khar, Khar,"  ? 1,400.00  ", Budget Friendly ,3.90,Very Good,yes,yes,yes,yes,yes,no
61,Grandmama's Cafe,19.09,72.83,"Hotel Royal Garden, Ground Floor,JuhuTara Road, Juhu, Mumbai",Juhu, Juhu,"  ? 1,100.00  ", Budget Friendly ,4.10,Very Good,no,no,yes,yes,yes,no
62,Gadda Da Vida - Novotel,19.11,72.82,"Novotel,JuhuBeach, Balraj Sahani Marg, Juhu, Mumbai",Juhu, Balraj Sahani Marg,"  ? 4,500.00  ", Expensive ,4.10,Very Good,no,no,yes,yes,no,no
63,Leopold Cafe & Bar,18.92,72.83,"S.B. Singh Road,ColabaCauseway, Colaba, Mumbai",Colaba, Colaba,"  ? 1,600.00  ", Moderate ,3.90,Very Good,yes,no,yes,yes,no,no
64,Oozo,19.11,72.89,"Floor 1, Jalaram Commercial Centre, Near Ansa Industrial Estate, Saki Vihar Road,Sakinaka, Mumbai",Sakinaka, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.20,Very Good,no,yes,yes,no,yes,yes
65,Lord of the Drinks,19.14,72.83,"Ground Floor, Aver House, New Link Road,Veera Desai Area, Mumbai Veera Desai Area",Veera Desai Area, Mumbai Veera Desai Area,"  ? 1,500.00  ", Budget Friendly ,4.00,Very Good,no,yes,yes,no,yes,no
66,Pa Pa Ya,18.99,72.82,"Level 3, Palladium Mall, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,000.00  ", Moderate ,4.80,Excellent,no,no,yes,no,no,no
67,SodaBottleOpenerWala,19.06,72.86,"Ground Floor, The Capital Building, G Block,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 1,300.00  ", Budget Friendly ,4.00,Very Good,no,no,yes,yes,no,no
68,AT MRP,19.15,72.83,"Oshiwara, Andheri West3rd, Floor, Om Heera Panna Mall,","Oshiwara, Andheri West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,no,yes,yes,no,yes,no
69,London Bubble Co.,19.10,72.83,"Shop 2,JuhuTara Road, Juhu, Mumbai",Juhu, Mumbai,  ? 400.00  , Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
70,Bombay Salad Co.,19.06,72.83,"Linking Road, Bandra WestShop 1,16th Road,","Linking Road, Bandra West", Mumbai,  ? 900.00  , Budget Friendly ,4.40,Very Good,yes,no,no,no,no,no
71,Hakkasan,19.06,72.83,"Linking Road, Bandra West206, Krystal, Waterfield Road,","Linking Road, Bandra West", Mumbai,"  ? 2,600.00  ", Moderate ,4.50,Very Good,no,yes,yes,yes,yes,no
72,Harbour O' Four,19.20,72.96,"Panch Pakhadi, Thane WestSun Magnetica Building, Greens Road, Louis Wadi, Near Eastern Express Highway,","Panch Pakhadi, Thane West", Mumbai,"  ? 1,300.00  ", Budget Friendly ,4.20,Very Good,no,no,yes,yes,yes,no
73,We VIP,19.14,72.83,"Deluxe House, 7th Floor, Plot B-50, Opposite New Link Road,Andheri Lokhandwala, Andheri West, Mumbai","Andheri Lokhandwala, Andheri West", Mumbai,"  ? 3,500.00  ", Expensive ,3.70,Very Good,no,yes,yes,no,yes,no
74,Playboy Club,19.01,72.83,"Birla Centurion, Gate 2, PB Marg,Worli, Mumbai",Worli, Mumbai,"  ? 2,700.00  ", Moderate ,3.50,Good,no,yes,yes,no,no,no
75,Joey's Pizza,19.13,72.83,"6 & 7, Upvan Building, Near Indian Oil Colony, DN Nagar,Azad Nagar, Mumbai",Azad Nagar, Mumbai,  ? 800.00  , Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
76,HITCHKI,19.13,72.83,"002, First International Financial Centre, G Block,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.60,Very Good,no,yes,yes,yes,yes,no
77,Talaiva,19.01,72.83,"3rd Floor,Trade View Building, Kamala Mills,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.00,Very Good,no,yes,yes,yes,yes,no
78,D:OH!,19.01,72.83,"Ground Floor, Unit 2B, Trade View, Kamala City, Kamala Mills Compound, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,  ? 800.00  , Budget Friendly ,3.80,Very Good,yes,yes,yes,no,yes,no
79,1 Above,19.00,72.83,"Floor 2, Kamala Trade House, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 3,000.00  ", Moderate ,4.10,Very Good,no,yes,yes,no,yes,no
80,Farzi Cafe,19.00,72.83,"Kamala Mills, Near Radio Mirchi Office,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.20,Very Good,no,no,yes,no,yes,no
81,Mojo's Bistro,19.00,72.83,"Level 2, Kamla Trade House, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.30,Very Good,no,yes,yes,no,yes,yes
82,The Bombay Canteen,19.00,72.83,"Ground Floor, Process House, Kamala Mills Compound, Near Radio Mirchi Office, S.B. Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,000.00  ", Moderate ,4.20,Very Good,no,no,yes,no,yes,no
83,FLYP@MTV,19.01,72.83,"1st Floor, Trade View Building, Next to Gate 4, Kamala Mills Compound, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,400.00  ", Budget Friendly ,4.10,Very Good,no,yes,yes,no,no,no
84,KODE,19.00,72.83,"Unit 11, Oasis City, Kamala Mills, Gate 4, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,400.00  ", Moderate ,4.60,Excellent,no,yes,yes,no,yes,no
85,Vortex Bandra,19.07,72.83,"Linking Road, Bandra West5th Floor, Crystal Shoppers Paradise,","Linking Road, Bandra West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.10,Good,no,no,yes,no,no,no
86,MRP - My Regular Place,19.02,72.85,"20, Dharamputra, Pritam Estate,Dadar East, Mumbai",Dadar East, Mumbai,"  ? 1,300.00  ", Budget Friendly ,3.80,Very Good,no,yes,yes,yes,yes,no
87,The DanSing Bottle,19.24,72.97,"Manpada, Thane WestShop 5 Kothari Compound , 9 Acres, Towards Neelkanth Woods, Next to Satyam Ford Service Center,","Manpada, Thane West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.80,Very Good,no,yes,yes,yes,yes,no
88,Pure Milk Centre,19.08,72.90,"19/20, Vikrant, RB Mehta Marg, Tilak Road,Ghatkopar East, Mumbai",Ghatkopar East, Mumbai,  ? 450.00  , Budget Friendly ,3.60,Very Good,yes,no,no,no,no,no
89,True Tramm Trunk,19.10,72.83,"Next to Options Showroom, First Floor, V.L. Mehta Road, J.V.P.D. Scheme,Juhu, Mumbai",Juhu, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.80,Very Good,no,yes,yes,no,yes,no
90,Stacks And Racks,19.18,72.84,"Shop 1, Ganga Nivas, Opposite Toyota Showroom, Link Road,Malad West, Mumbai",Malad West, Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.50,Very Good,no,yes,no,no,no,no
91,KOKO Asian Gastropub,19.00,72.83,"C 2, Trade World, Kamala Mills, Near Radio Mirchi Office, SB Road,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 3,000.00  ", Moderate ,4.40,Very Good,no,yes,yes,yes,yes,no
92,Penthouzz,19.21,72.87,"4th Floor, V Mall, Thakur Complex, Asha Nagar,Kandivali East, Mumbai",Kandivali East, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.70,Very Good,no,yes,yes,no,no,no
93,Amanzi Sky Deck & Bar,19.05,72.83,"164, 3rd Floor, Cest La Vie,Hill Road, Bandra WestMe holy family hospital.","Hill Road, Bandra West", Mumbai,"  ? 2,000.00  ", Moderate ,3.50,Good,no,yes,yes,no,yes,no
94,The Little Door,19.14,72.83,"B 31, Ground Floor, Shree Siddhivinayak Plaza, New Link Road,Veera Desai Area, Mumbai",Veera Desai Area, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.80,Very Good,yes,yes,yes,no,yes,no
95,Tea Villa Cafe,19.06,72.83,"Hill Road, Bandra West31, Opposite Globus,","Hill Road, Bandra West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.60,Excellent,yes,no,no,yes,no,no
